DataSeries,year_month,arrivals
Malaysia,2023-09,266606
Philippines,2023-09,105834
Thailand,2023-09,197101
North East Asia,2023-09,563604
Mainland China,2023-09,210215
Hong Kong,2023-09,80709
Japan,2023-09,108057
South Asia,2023-09,245735
Middle East,2023-09,79612
Oceania,2023-09,269833
Germany,2023-09,40042
Europe,2023-09,205167
France,2023-09,25359
United Kingdom,2023-09,60266
North America,2023-09,48489
Number Of Air Passenger Arrivals,2023-08,2550494
South East Asia,2023-08,1079906
Vietnam,2023-08,112809
Indonesia,2023-08,316308
Other Regions,2023-08,9956
Malaysia,2023-08,278475
Philippines,2023-08,120166
Thailand,2023-08,206186
North East Asia,2023-08,595164
Mainland China,2023-08,243441
Hong Kong,2023-08,74061
Japan,2023-08,116038
South Asia,2023-08,257429
Middle East,2023-08,78681
Oceania,2023-08,269363
Germany,2023-08,42183
Europe,2023-08,211051
France,2023-08,26669
United Kingdom,2023-08,61509
North America,2023-08,48944
Number Of Air Passenger Arrivals,2023-07,2701718
South East Asia,2023-07,1130304
Vietnam,2023-07,117479
Indonesia,2023-07,320258
Other Regions,2023-07,10036
Malaysia,2023-07,283944
Philippines,2023-07,134631
Thailand,2023-07,227415
North East Asia,2023-07,641419
Mainland China,2023-07,263392
Hong Kong,2023-07,78733
Japan,2023-07,117761
South Asia,2023-07,269634
Middle East,2023-07,92080
Oceania,2023-07,270523
Germany,2023-07,47008
Europe,2023-07,231770
France,2023-07,28309
United Kingdom,2023-07,71819
North America,2023-07,55952
Number Of Air Passenger Arrivals,2023-06,2580813
South East Asia,2023-06,1121043
Vietnam,2023-06,111167
Indonesia,2023-06,319342
Other Regions,2023-06,9075
Malaysia,2023-06,295806
Philippines,2023-06,134950
Thailand,2023-06,214922
North East Asia,2023-06,569258
Mainland China,2023-06,184935
Hong Kong,2023-06,78942
Japan,2023-06,119020
South Asia,2023-06,265510
Middle East,2023-06,76872
Oceania,2023-06,285147
Germany,2023-06,40113
Europe,2023-06,195524
France,2023-06,22334
United Kingdom,2023-06,60390
North America,2023-06,58384
Number Of Air Passenger Arrivals,2023-05,2376786
South East Asia,2023-05,1025991
Vietnam,2023-05,102932
Indonesia,2023-05,295364
Other Regions,2023-05,8359
Malaysia,2023-05,256899
Philippines,2023-05,123290
Thailand,2023-05,201556
North East Asia,2023-05,488945
Mainland China,2023-05,132574
Hong Kong,2023-05,75345
Japan,2023-05,115040
South Asia,2023-05,272452
