DataSeries,year_month,arrivals
Thailand,2004-01,134532
North East Asia,2004-01,277691
Mainland China,2004-01,83696
Hong Kong,2004-01,71573
Japan,2004-01,64347
South Asia,2004-01,98646
Middle East,2004-01,13803
Oceania,2004-01,173675
Germany,2004-01,27708
Europe,2004-01,139731
France,2004-01,16099
United Kingdom,2004-01,61769
North America,2004-01,34016
Number Of Air Passenger Arrivals,2003-12,1313217
South East Asia,2003-12,499005
Vietnam,2003-12,20547
Indonesia,2003-12,149699
Malaysia,2003-12,111850
Philippines,2003-12,29324
Thailand,2003-12,164318
North East Asia,2003-12,308234
Mainland China,2003-12,85838
Hong Kong,2003-12,78062
Japan,2003-12,79177
South Asia,2003-12,94359
Middle East,2003-12,14794
Oceania,2003-12,201359
Germany,2003-12,28840
Europe,2003-12,148965
France,2003-12,17391
United Kingdom,2003-12,64661
North America,2003-12,33887
Number Of Air Passenger Arrivals,2003-11,1109916
South East Asia,2003-11,425182
Vietnam,2003-11,17893
Indonesia,2003-11,122725
Malaysia,2003-11,99088
Philippines,2003-11,26692
Thailand,2003-11,140866
North East Asia,2003-11,255106
Mainland China,2003-11,74256
Hong Kong,2003-11,65930
Japan,2003-11,60365
South Asia,2003-11,72342
Middle East,2003-11,12189
Oceania,2003-11,168481
Germany,2003-11,28814
Europe,2003-11,139267
France,2003-11,14480
United Kingdom,2003-11,59472
North America,2003-11,27123
Number Of Air Passenger Arrivals,2003-10,1079953
South East Asia,2003-10,413742
Vietnam,2003-10,16595
Indonesia,2003-10,120047
Malaysia,2003-10,105401
Philippines,2003-10,29615
Thailand,2003-10,126775
North East Asia,2003-10,253748
Mainland China,2003-10,75338
Hong Kong,2003-10,61311
Japan,2003-10,61627
South Asia,2003-10,74737
Middle East,2003-10,11043
Oceania,2003-10,134108
Germany,2003-10,33453
Europe,2003-10,158831
France,2003-10,18393
United Kingdom,2003-10,64883
North America,2003-10,22248
Number Of Air Passenger Arrivals,2003-09,1052973
South East Asia,2003-09,396515
Vietnam,2003-09,14452
Indonesia,2003-09,118253
Malaysia,2003-09,100302
Philippines,2003-09,27956
Thailand,2003-09,119708
North East Asia,2003-09,254355
Mainland China,2003-09,73285
Hong Kong,2003-09,59960
Japan,2003-09,70980
South Asia,2003-09,73493
Middle East,2003-09,9611
Oceania,2003-09,148698
Germany,2003-09,30652
Europe,2003-09,140276
France,2003-09,13471
United Kingdom,2003-09,57661
North America,2003-09,20167
Number Of Air Passenger Arrivals,2003-08,1060772
South East Asia,2003-08,406294
Vietnam,2003-08,16867
Indonesia,2003-08,121020
Malaysia,2003-08,98590
Philippines,2003-08,29796
Thailand,2003-08,124467
North East Asia,2003-08,245816
Mainland China,2003-08,57511
Hong Kong,2003-08,66027
Japan,2003-08,69133
South Asia,2003-08,76288
Middle East,2003-08,10936
Oceania,2003-08,150361
Germany,2003-08,27854
Europe,2003-08,138278
France,2003-08,14501
United Kingdom,2003-08,56523
North America,2003-08,21857
Number Of Air Passenger Arrivals,2003-07,994704
South East Asia,2003-07,388003
Vietnam,2003-07,15503
Indonesia,2003-07,128180
Malaysia,2003-07,91207
Philippines,2003-07,27856
Thailand,2003-07,111134
North East Asia,2003-07,204588
Mainland China,2003-07,41052
Hong Kong,2003-07,61357
Japan,2003-07,54029
South Asia,2003-07,74032
Middle East,2003-07,10384
Oceania,2003-07,141116
Germany,2003-07,30707
Europe,2003-07,145102
France,2003-07,16499
United Kingdom,2003-07,59258
North America,2003-07,22436
Number Of Air Passenger Arrivals,2003-06,707534
South East Asia,2003-06,296708
Vietnam,2003-06,10026
Indonesia,2003-06,107167
Malaysia,2003-06,66576
Philippines,2003-06,22996
Thailand,2003-06,77847
North East Asia,2003-06,106078
Mainland China,2003-06,18683
Hong Kong,2003-06,29918
Japan,2003-06,34755
South Asia,2003-06,57244
Middle East,2003-06,7867
Oceania,2003-06,120995
Germany,2003-06,17753
Europe,2003-06,94360
France,2003-06,9246
United Kingdom,2003-06,43801
North America,2003-06,18618
Number Of Air Passenger Arrivals,2003-05,447755
South East Asia,2003-05,169925
Vietnam,2003-05,6297
Indonesia,2003-05,62938
Malaysia,2003-05,36103
Philippines,2003-05,18360
Thailand,2003-05,38983
North East Asia,2003-05,47943
Mainland China,2003-05,9431
Hong Kong,2003-05,9739
Japan,2003-05,18655
South Asia,2003-05,43629
Middle East,2003-05,4519
Oceania,2003-05,99514
Germany,2003-05,15473
Europe,2003-05,68036
France,2003-05,5700
United Kingdom,2003-05,30380
North America,2003-05,10224
Number Of Air Passenger Arrivals,2003-04,531247
South East Asia,2003-04,185708
Vietnam,2003-04,8876
Indonesia,2003-04,57866
Malaysia,2003-04,42131
Philippines,2003-04,20732
Thailand,2003-04,46561
North East Asia,2003-04,79943
Mainland China,2003-04,22920
Hong Kong,2003-04,13753
Japan,2003-04,28135
South Asia,2003-04,47244
Middle East,2003-04,5842
Oceania,2003-04,113988
Germany,2003-04,18301
Europe,2003-04,84281
France,2003-04,7673
United Kingdom,2003-04,38302
North America,2003-04,8300
Number Of Air Passenger Arrivals,2003-03,1053850
South East Asia,2003-03,423322
Vietnam,2003-03,22311
Indonesia,2003-03,113642
Malaysia,2003-03,109605
Philippines,2003-03,28868
Thailand,2003-03,130884
North East Asia,2003-03,236180
Mainland China,2003-03,64806
Hong Kong,2003-03,56957
Japan,2003-03,71528
South Asia,2003-03,78113
Middle East,2003-03,15513
Oceania,2003-03,155375
Germany,2003-03,25937
Europe,2003-03,114957
France,2003-03,11559
United Kingdom,2003-03,44606
North America,2003-03,19483
Number Of Air Passenger Arrivals,2003-02,1075361
South East Asia,2003-02,431058
Vietnam,2003-02,22481
Indonesia,2003-02,111506
Malaysia,2003-02,113553
Philippines,2003-02,27624
Thailand,2003-02,137762
North East Asia,2003-02,258138
Mainland China,2003-02,69638
Hong Kong,2003-02,64485
Japan,2003-02,68686
South Asia,2003-02,76663
Middle East,2003-02,11670
Oceania,2003-02,137153
Germany,2003-02,29232
Europe,2003-02,129503
France,2003-02,13852
United Kingdom,2003-02,51084
North America,2003-02,21175
Number Of Air Passenger Arrivals,2003-01,1160294
South East Asia,2003-01,422320
Vietnam,2003-01,19710
Indonesia,2003-01,116815
Malaysia,2003-01,104115
Philippines,2003-01,37460
Thailand,2003-01,123944
North East Asia,2003-01,270016
Mainland China,2003-01,65653
Hong Kong,2003-01,72340
Japan,2003-01,71941
South Asia,2003-01,90677
Middle East,2003-01,12812
Oceania,2003-01,171956
Germany,2003-01,30281
Europe,2003-01,146120
France,2003-01,15357
United Kingdom,2003-01,59349
North America,2003-01,33165
Number Of Air Passenger Arrivals,2002-12,1341856
South East Asia,2002-12,503500
Vietnam,2002-12,19446
Indonesia,2002-12,145422
Malaysia,2002-12,130276
Philippines,2002-12,26515
Thailand,2002-12,158941
North East Asia,2002-12,341155
Mainland China,2002-12,85815
Hong Kong,2002-12,97590
Japan,2002-12,88674
South Asia,2002-12,83501
Middle East,2002-12,16940
Oceania,2002-12,197927
Germany,2002-12,30207
Europe,2002-12,149393
France,2002-12,14724
United Kingdom,2002-12,62092
North America,2002-12,35582
Number Of Air Passenger Arrivals,2002-11,1094579
South East Asia,2002-11,404757
Vietnam,2002-11,17953
Indonesia,2002-11,91888
Malaysia,2002-11,114540
Philippines,2002-11,25198
Thailand,2002-11,135519
North East Asia,2002-11,270982
Mainland China,2002-11,74587
Hong Kong,2002-11,69924
Japan,2002-11,73551
South Asia,2002-11,68248
Middle East,2002-11,12887
Oceania,2002-11,165880
Germany,2002-11,29044
Europe,2002-11,135028
France,2002-11,12889
United Kingdom,2002-11,52836
North America,2002-11,26074
Number Of Air Passenger Arrivals,2002-10,1121857
South East Asia,2002-10,432275
Vietnam,2002-10,16644
Indonesia,2002-10,124973
Malaysia,2002-10,117730
Philippines,2002-10,28539
Thailand,2002-10,127048
North East Asia,2002-10,271455
Mainland China,2002-10,73256
Hong Kong,2002-10,67471
Japan,2002-10,76248
South Asia,2002-10,67383
Middle East,2002-10,14870
Oceania,2002-10,138726
Germany,2002-10,37521
Europe,2002-10,161609
France,2002-10,13883
United Kingdom,2002-10,60883
North America,2002-10,23487
Number Of Air Passenger Arrivals,2002-09,1105115
South East Asia,2002-09,416710
Vietnam,2002-09,15686
Indonesia,2002-09,130141
Malaysia,2002-09,113659
Philippines,2002-09,26814
Thailand,2002-09,114113
North East Asia,2002-09,274447
Mainland China,2002-09,70880
Hong Kong,2002-09,66373
Japan,2002-09,89327
South Asia,2002-09,66492
Middle East,2002-09,13495
Oceania,2002-09,149994
Germany,2002-09,33979
Europe,2002-09,151889
France,2002-09,13160
United Kingdom,2002-09,56826
North America,2002-09,20915
Number Of Air Passenger Arrivals,2002-08,1165727
South East Asia,2002-08,454419
Vietnam,2002-08,19333
Indonesia,2002-08,139045
Malaysia,2002-08,125430
Philippines,2002-08,29621
Thailand,2002-08,121168
North East Asia,2002-08,285959
Mainland China,2002-08,55877
Hong Kong,2002-08,71819
Japan,2002-08,98334
South Asia,2002-08,73181
Middle East,2002-08,15661
Oceania,2002-08,147739
Germany,2002-08,32933
Europe,2002-08,150738
France,2002-08,13818
United Kingdom,2002-08,54577
North America,2002-08,26398
Number Of Air Passenger Arrivals,2002-07,1169308
South East Asia,2002-07,445743
Vietnam,2002-07,18697
Indonesia,2002-07,137092
Malaysia,2002-07,122356
Philippines,2002-07,28102
Thailand,2002-07,121802
North East Asia,2002-07,287627
Mainland China,2002-07,59534
Hong Kong,2002-07,78388
Japan,2002-07,87638
South Asia,2002-07,68503
Middle East,2002-07,17829
Oceania,2002-07,145179
Germany,2002-07,35785
Europe,2002-07,163192
France,2002-07,16109
United Kingdom,2002-07,58941
North America,2002-07,29437
Number Of Air Passenger Arrivals,2002-06,1199064
South East Asia,2002-06,473675
Vietnam,2002-06,16314
Indonesia,2002-06,148303
Malaysia,2002-06,126610
Philippines,2002-06,31871
Thailand,2002-06,132394
North East Asia,2002-06,288722
Mainland China,2002-06,74841
Hong Kong,2002-06,81551
Japan,2002-06,75273
South Asia,2002-06,70407
Middle East,2002-06,18683
Oceania,2002-06,164647
Germany,2002-06,28077
Europe,2002-06,138816
France,2002-06,14610
United Kingdom,2002-06,52859
North America,2002-06,31597
Number Of Air Passenger Arrivals,2002-05,1113677
South East Asia,2002-05,456819
Vietnam,2002-05,15084
Indonesia,2002-05,123486
Malaysia,2002-05,135484
Philippines,2002-05,35732
Thailand,2002-05,129980
North East Asia,2002-05,259619
Mainland China,2002-05,66056
Hong Kong,2002-05,71786
Japan,2002-05,65216
South Asia,2002-05,79484
Middle East,2002-05,12336
Oceania,2002-05,152649
Germany,2002-05,24253
Europe,2002-05,114007
France,2002-05,12176
United Kingdom,2002-05,41165
North America,2002-05,28271
Number Of Air Passenger Arrivals,2002-04,1112304
South East Asia,2002-04,444148
Vietnam,2002-04,17274
Indonesia,2002-04,117023
Malaysia,2002-04,120026
Philippines,2002-04,37137
Thailand,2002-04,133777
North East Asia,2002-04,265616
Mainland China,2002-04,68240
Hong Kong,2002-04,69182
Japan,2002-04,71903
South Asia,2002-04,76565
Middle East,2002-04,12559
Oceania,2002-04,159033
Germany,2002-04,27980
Europe,2002-04,122750
France,2002-04,13712
United Kingdom,2002-04,41491
North America,2002-04,20648
Number Of Air Passenger Arrivals,2002-03,1177316
South East Asia,2002-03,471673
Vietnam,2002-03,18788
Indonesia,2002-03,134453
Malaysia,2002-03,127362
Philippines,2002-03,33657
Thailand,2002-03,139559
North East Asia,2002-03,275825
Mainland China,2002-03,58347
Hong Kong,2002-03,78154
Japan,2002-03,83667
South Asia,2002-03,77959
Middle East,2002-03,19072
Oceania,2002-03,158295
Germany,2002-03,28020
Europe,2002-03,141337
France,2002-03,15140
United Kingdom,2002-03,58728
North America,2002-03,21631
Number Of Air Passenger Arrivals,2002-02,1042812
South East Asia,2002-02,406968
Vietnam,2002-02,14649
Indonesia,2002-02,106207
Malaysia,2002-02,115959
Philippines,2002-02,27044
Thailand,2002-02,125030
North East Asia,2002-02,260386
Mainland China,2002-02,58369
Hong Kong,2002-02,72956
Japan,2002-02,73246
South Asia,2002-02,69453
Middle East,2002-02,12142
Oceania,2002-02,134784
Germany,2002-02,24953
Europe,2002-02,127489
France,2002-02,14280
United Kingdom,2002-02,53508
North America,2002-02,21111
Number Of Air Passenger Arrivals,2002-01,1083620
South East Asia,2002-01,412527
Vietnam,2002-01,14546
Indonesia,2002-01,116717
Malaysia,2002-01,106958
Philippines,2002-01,37006
Thailand,2002-01,120485
North East Asia,2002-01,242179
Mainland China,2002-01,47903
Hong Kong,2002-01,67510
Japan,2002-01,67610
South Asia,2002-01,83957
Middle East,2002-01,12635
Oceania,2002-01,158347
Germany,2002-01,29233
Europe,2002-01,137946
France,2002-01,13644
United Kingdom,2002-01,57906
North America,2002-01,24677
Number Of Air Passenger Arrivals,2001-12,1219468
South East Asia,2001-12,474188
Vietnam,2001-12,12987
Indonesia,2001-12,138826
Malaysia,2001-12,125996
Philippines,2001-12,25203
Thailand,2001-12,149701
North East Asia,2001-12,293539
Mainland China,2001-12,64579
Hong Kong,2001-12,93734
Japan,2001-12,73343
South Asia,2001-12,75576
Middle East,2001-12,15348
Oceania,2001-12,181821
Germany,2001-12,27670
Europe,2001-12,138305
France,2001-12,12928
United Kingdom,2001-12,62108
North America,2001-12,28654
Number Of Air Passenger Arrivals,2001-11,978632
South East Asia,2001-11,384967
Vietnam,2001-11,12816
Indonesia,2001-11,103426
Malaysia,2001-11,110446
Philippines,2001-11,24225
Thailand,2001-11,116974
North East Asia,2001-11,218423
Mainland China,2001-11,51321
Hong Kong,2001-11,65346
Japan,2001-11,50236
South Asia,2001-11,60357
Middle East,2001-11,11147
Oceania,2001-11,150174
Germany,2001-11,26922
Europe,2001-11,123922
France,2001-11,11416
United Kingdom,2001-11,52324
North America,2001-11,19760
Number Of Air Passenger Arrivals,2001-10,986199
South East Asia,2001-10,391388
Vietnam,2001-10,12434
Indonesia,2001-10,117909
Malaysia,2001-10,115435
Philippines,2001-10,25161
Thailand,2001-10,104821
North East Asia,2001-10,218158
Mainland China,2001-10,57856
Hong Kong,2001-10,61953
Japan,2001-10,51721
South Asia,2001-10,59408
Middle East,2001-10,11187
Oceania,2001-10,131838
Germany,2001-10,32111
Europe,2001-10,146638
France,2001-10,14267
United Kingdom,2001-10,59220
North America,2001-10,16427
Number Of Air Passenger Arrivals,2001-09,1081657
South East Asia,2001-09,420566
Vietnam,2001-09,14102
Indonesia,2001-09,131829
Malaysia,2001-09,129751
Philippines,2001-09,25937
Thailand,2001-09,101839
North East Asia,2001-09,252938
Mainland China,2001-09,56247
Hong Kong,2001-09,71564
Japan,2001-09,78087
South Asia,2001-09,67630
Middle East,2001-09,11371
Oceania,2001-09,149996
Germany,2001-09,31920
Europe,2001-09,147649
France,2001-09,12611
United Kingdom,2001-09,59237
North America,2001-09,18779
Number Of Air Passenger Arrivals,2001-08,1170932
South East Asia,2001-08,461833
Vietnam,2001-08,17955
Indonesia,2001-08,134653
Malaysia,2001-08,142299
Philippines,2001-08,28451
Thailand,2001-08,117532
North East Asia,2001-08,284904
Mainland China,2001-08,46693
Hong Kong,2001-08,78212
Japan,2001-08,100180
South Asia,2001-08,74690
Middle East,2001-08,15572
Oceania,2001-08,150608
Germany,2001-08,32484
Europe,2001-08,146730
France,2001-08,13353
United Kingdom,2001-08,57713
North America,2001-08,23870
Number Of Air Passenger Arrivals,2001-07,1195365
South East Asia,2001-07,463620
Vietnam,2001-07,16924
Indonesia,2001-07,134499
Malaysia,2001-07,139246
Philippines,2001-07,28116
Thailand,2001-07,125253
North East Asia,2001-07,289614
Mainland China,2001-07,46398
Hong Kong,2001-07,82709
Japan,2001-07,93070
South Asia,2001-07,78385
Middle East,2001-07,19504
Oceania,2001-07,146288
Germany,2001-07,33728
Europe,2001-07,156602
France,2001-07,16251
United Kingdom,2001-07,62854
North America,2001-07,28709
Number Of Air Passenger Arrivals,2001-06,1195115
South East Asia,2001-06,471051
Vietnam,2001-06,14876
Indonesia,2001-06,133007
Malaysia,2001-06,146886
Philippines,2001-06,30622
Thailand,2001-06,126720
North East Asia,2001-06,297440
Mainland China,2001-06,58859
Hong Kong,2001-06,90455
Japan,2001-06,83053
South Asia,2001-06,74258
Middle East,2001-06,20505
Oceania,2001-06,155790
Germany,2001-06,24370
Europe,2001-06,132088
France,2001-06,13893
United Kingdom,2001-06,55092
North America,2001-06,31915
Number Of Air Passenger Arrivals,2001-05,1082517
South East Asia,2001-05,442169
Vietnam,2001-05,13018
Indonesia,2001-05,114638
Malaysia,2001-05,146426
Philippines,2001-05,32439
Thailand,2001-05,117248
North East Asia,2001-05,257005
Mainland China,2001-05,52877
Hong Kong,2001-05,75440
Japan,2001-05,70313
South Asia,2001-05,78241
Middle East,2001-05,12860
Oceania,2001-05,146238
Germany,2001-05,22706
Europe,2001-05,108074
France,2001-05,11114
United Kingdom,2001-05,41334
North America,2001-05,26948
Number Of Air Passenger Arrivals,2001-04,1095673
South East Asia,2001-04,433444
Vietnam,2001-04,15134
Indonesia,2001-04,114670
Malaysia,2001-04,132264
Philippines,2001-04,35439
Thailand,2001-04,117122
North East Asia,2001-04,264885
Mainland China,2001-04,52287
Hong Kong,2001-04,79243
Japan,2001-04,77559
South Asia,2001-04,78464
Middle East,2001-04,13410
Oceania,2001-04,155852
Germany,2001-04,24637
Europe,2001-04,116938
France,2001-04,12435
United Kingdom,2001-04,47877
North America,2001-04,20663
Number Of Air Passenger Arrivals,2001-03,1158157
South East Asia,2001-03,463090
Vietnam,2001-03,17973
Indonesia,2001-03,124848
Malaysia,2001-03,143255
Philippines,2001-03,31161
Thailand,2001-03,127617
North East Asia,2001-03,278970
Mainland China,2001-03,45756
Hong Kong,2001-03,84529
Japan,2001-03,96285
South Asia,2001-03,84574
Middle East,2001-03,19184
Oceania,2001-03,151771
Germany,2001-03,25026
Europe,2001-03,125817
France,2001-03,11226
United Kingdom,2001-03,54893
North America,2001-03,22687
Number Of Air Passenger Arrivals,2001-02,1004780
South East Asia,2001-02,403155
Vietnam,2001-02,17471
Indonesia,2001-02,108701
Malaysia,2001-02,125339
Philippines,2001-02,26309
Thailand,2001-02,108692
North East Asia,2001-02,239169
Mainland China,2001-02,39701
Hong Kong,2001-02,61990
Japan,2001-02,85205
South Asia,2001-02,80326
Middle East,2001-02,11045
Oceania,2001-02,116360
Germany,2001-02,24888
Europe,2001-02,121526
France,2001-02,11712
United Kingdom,2001-02,52375
North America,2001-02,22619
Number Of Air Passenger Arrivals,2001-01,1164672
South East Asia,2001-01,431224
Vietnam,2001-01,15799
Indonesia,2001-01,115362
Malaysia,2001-01,130138
Philippines,2001-01,34866
Thailand,2001-01,116099
North East Asia,2001-01,287006
Mainland China,2001-01,54210
Hong Kong,2001-01,89147
Japan,2001-01,85980
South Asia,2001-01,93263
Middle East,2001-01,11793
Oceania,2001-01,163881
Germany,2001-01,23638
Europe,2001-01,131596
France,2001-01,10880
United Kingdom,2001-01,60469
North America,2001-01,31850
Number Of Air Passenger Arrivals,2000-12,1272897
South East Asia,2000-12,469931
Vietnam,2000-12,13157
Indonesia,2000-12,128598
Malaysia,2000-12,146896
Philippines,2000-12,25279
Thailand,2000-12,133773
North East Asia,2000-12,321552
Mainland China,2000-12,60253
Hong Kong,2000-12,99420
Japan,2000-12,98011
South Asia,2000-12,83159
Middle East,2000-12,16024
Oceania,2000-12,191622
Germany,2000-12,24673
Europe,2000-12,142190
France,2000-12,12285
United Kingdom,2000-12,68296
North America,2000-12,33699
Number Of Air Passenger Arrivals,2000-11,1133556
South East Asia,2000-11,433948
Vietnam,2000-11,12887
Indonesia,2000-11,114142
Malaysia,2000-11,141943
Philippines,2000-11,26806
Thailand,2000-11,119924
North East Asia,2000-11,275317
Mainland China,2000-11,50383
Hong Kong,2000-11,80740
Japan,2000-11,90741
South Asia,2000-11,77593
Middle East,2000-11,12692
Oceania,2000-11,160483
Germany,2000-11,25609
Europe,2000-11,133291
France,2000-11,11317
United Kingdom,2000-11,59086
North America,2000-11,27443
Number Of Air Passenger Arrivals,2000-10,1142458
South East Asia,2000-10,430602
Vietnam,2000-10,12462
Indonesia,2000-10,124236
Malaysia,2000-10,139806
Philippines,2000-10,29193
Thailand,2000-10,109595
North East Asia,2000-10,277854
Mainland China,2000-10,54012
Hong Kong,2000-10,78192
Japan,2000-10,89552
South Asia,2000-10,75816
Middle East,2000-10,12264
Oceania,2000-10,135752
Germany,2000-10,30549
Europe,2000-10,167069
France,2000-10,14131
United Kingdom,2000-10,69349
North America,2000-10,29108
Number Of Air Passenger Arrivals,2000-09,1121235
South East Asia,2000-09,423607
Vietnam,2000-09,13125
Indonesia,2000-09,126821
Malaysia,2000-09,136372
Philippines,2000-09,28194
Thailand,2000-09,103536
North East Asia,2000-09,286654
Mainland China,2000-09,56587
Hong Kong,2000-09,82193
Japan,2000-09,92951
South Asia,2000-09,76262
Middle East,2000-09,10424
Oceania,2000-09,138492
Germany,2000-09,27937
Europe,2000-09,147065
France,2000-09,11463
United Kingdom,2000-09,60317
North America,2000-09,25519
Number Of Air Passenger Arrivals,2000-08,1158741
South East Asia,2000-08,444483
Vietnam,2000-08,17764
Indonesia,2000-08,127648
Malaysia,2000-08,145755
Philippines,2000-08,29637
Thailand,2000-08,105648
North East Asia,2000-08,293458
Mainland China,2000-08,38873
Hong Kong,2000-08,84901
Japan,2000-08,105872
South Asia,2000-08,80694
Middle East,2000-08,14889
Oceania,2000-08,143561
Germany,2000-08,27917
Europe,2000-08,143390
France,2000-08,12145
United Kingdom,2000-08,59691
North America,2000-08,23906
Number Of Air Passenger Arrivals,2000-07,1180515
South East Asia,2000-07,443508
Vietnam,2000-07,16357
Indonesia,2000-07,130962
Malaysia,2000-07,138135
Philippines,2000-07,29272
Thailand,2000-07,112293
North East Asia,2000-07,303750
Mainland China,2000-07,41720
Hong Kong,2000-07,87920
Japan,2000-07,99791
South Asia,2000-07,80554
Middle East,2000-07,19642
Oceania,2000-07,132148
Germany,2000-07,29708
Europe,2000-07,157857
France,2000-07,13596
United Kingdom,2000-07,67690
North America,2000-07,29234
Number Of Air Passenger Arrivals,2000-06,1174014
South East Asia,2000-06,458701
Vietnam,2000-06,13775
Indonesia,2000-06,130476
Malaysia,2000-06,145721
Philippines,2000-06,30892
Thailand,2000-06,119888
North East Asia,2000-06,299526
Mainland China,2000-06,56856
Hong Kong,2000-06,88672
Japan,2000-06,84437
South Asia,2000-06,78314
Middle East,2000-06,21284
Oceania,2000-06,143898
Germany,2000-06,23108
Europe,2000-06,126471
France,2000-06,12126
United Kingdom,2000-06,50762
North America,2000-06,33101
Number Of Air Passenger Arrivals,2000-05,1056417
South East Asia,2000-05,437495
Vietnam,2000-05,12963
Indonesia,2000-05,113530
Malaysia,2000-05,141765
Philippines,2000-05,36619
Thailand,2000-05,116064
North East Asia,2000-05,247600
Mainland China,2000-05,47049
Hong Kong,2000-05,73059
Japan,2000-05,68447
South Asia,2000-05,84622
Middle East,2000-05,10466
Oceania,2000-05,133268
Germany,2000-05,20625
Europe,2000-05,103662
France,2000-05,11045
United Kingdom,2000-05,39014
North America,2000-05,27886
Number Of Air Passenger Arrivals,2000-04,1118255
South East Asia,2000-04,442421
Vietnam,2000-04,14842
Indonesia,2000-04,117352
Malaysia,2000-04,137920
Philippines,2000-04,36480
Thailand,2000-04,117760
North East Asia,2000-04,271424
Mainland China,2000-04,49473
Hong Kong,2000-04,84503
Japan,2000-04,75681
South Asia,2000-04,86546
Middle East,2000-04,16467
Oceania,2000-04,144664
Germany,2000-04,24330
Europe,2000-04,120093
France,2000-04,12110
United Kingdom,2000-04,46392
North America,2000-04,22339
Number Of Air Passenger Arrivals,2000-03,1100033
South East Asia,2000-03,452560
Vietnam,2000-03,16636
Indonesia,2000-03,124415
Malaysia,2000-03,140595
Philippines,2000-03,33325
Thailand,2000-03,121424
North East Asia,2000-03,266972
Mainland China,2000-03,38781
Hong Kong,2000-03,74961
Japan,2000-03,97273
South Asia,2000-03,79146
Middle East,2000-03,13960
Oceania,2000-03,137533
Germany,2000-03,21926
Europe,2000-03,111054
France,2000-03,10737
United Kingdom,2000-03,43837
North America,2000-03,25519
Number Of Air Passenger Arrivals,2000-02,1042395
South East Asia,2000-02,423172
Vietnam,2000-02,15578
Indonesia,2000-02,108219
Malaysia,2000-02,140873
Philippines,2000-02,28769
Thailand,2000-02,112799
North East Asia,2000-02,262736
Mainland China,2000-02,44500
Hong Kong,2000-02,69344
Japan,2000-02,84269
South Asia,2000-02,75720
Middle East,2000-02,9773
Oceania,2000-02,116833
Germany,2000-02,22852
Europe,2000-02,118685
France,2000-02,11424
United Kingdom,2000-02,48556
North America,2000-02,23197
Number Of Air Passenger Arrivals,2000-01,1045092
South East Asia,2000-01,413450
Vietnam,2000-01,10885
Indonesia,2000-01,120322
Malaysia,2000-01,121018
Philippines,2000-01,35228
Thailand,2000-01,111636
North East Asia,2000-01,245586
Mainland China,2000-01,34013
Hong Kong,2000-01,69711
Japan,2000-01,86339
South Asia,2000-01,82624
Middle East,2000-01,10883
Oceania,2000-01,133358
Germany,2000-01,24251
Europe,2000-01,119735
France,2000-01,11469
United Kingdom,2000-01,45630
North America,2000-01,26225
Number Of Air Passenger Arrivals,1999-12,1162625
South East Asia,1999-12,466685
Vietnam,1999-12,11735
Indonesia,1999-12,126737
Malaysia,1999-12,150096
Philippines,1999-12,25928
Thailand,1999-12,131220
North East Asia,1999-12,287366
Mainland China,1999-12,44975
Hong Kong,1999-12,85433
Japan,1999-12,89628
South Asia,1999-12,82261
Middle East,1999-12,16547
Oceania,1999-12,153916
Germany,1999-12,21360
Europe,1999-12,112120
France,1999-12,10457
United Kingdom,1999-12,46002
North America,1999-12,29938
Number Of Air Passenger Arrivals,1999-11,1065899
South East Asia,1999-11,420990
Vietnam,1999-11,12463
Indonesia,1999-11,104339
Malaysia,1999-11,135220
Philippines,1999-11,28578
Thailand,1999-11,123658
North East Asia,1999-11,257200
Mainland China,1999-11,41002
Hong Kong,1999-11,72862
Japan,1999-11,85550
South Asia,1999-11,70840
Middle East,1999-11,12005
Oceania,1999-11,136741
Germany,1999-11,25449
Europe,1999-11,131406
France,1999-11,11858
United Kingdom,1999-11,57192
North America,1999-11,24639
Number Of Air Passenger Arrivals,1999-10,1045569
South East Asia,1999-10,409471
Vietnam,1999-10,11326
Indonesia,1999-10,110305
Malaysia,1999-10,131914
Philippines,1999-10,28336
Thailand,1999-10,112774
North East Asia,1999-10,248951
Mainland China,1999-10,47620
Hong Kong,1999-10,67592
Japan,1999-10,82021
South Asia,1999-10,70211
Middle East,1999-10,11688
Oceania,1999-10,118329
Germany,1999-10,29242
Europe,1999-10,149159
France,1999-10,15207
United Kingdom,1999-10,59892
North America,1999-10,24269
Number Of Air Passenger Arrivals,1999-09,999213
South East Asia,1999-09,395120
Vietnam,1999-09,10759
Indonesia,1999-09,121364
Malaysia,1999-09,128616
Philippines,1999-09,27739
Thailand,1999-09,92632
North East Asia,1999-09,245895
Mainland China,1999-09,39245
Hong Kong,1999-09,63915
Japan,1999-09,91162
South Asia,1999-09,67234
Middle East,1999-09,10746
Oceania,1999-09,120862
Germany,1999-09,23869
Europe,1999-09,128589
France,1999-09,12112
United Kingdom,1999-09,54520
North America,1999-09,18046
Number Of Air Passenger Arrivals,1999-08,1064156
South East Asia,1999-08,423015
Vietnam,1999-08,15457
Indonesia,1999-08,122693
Malaysia,1999-08,133323
Philippines,1999-08,27815
Thailand,1999-08,105374
North East Asia,1999-08,267016
Mainland China,1999-08,32657
Hong Kong,1999-08,70744
Japan,1999-08,105768
South Asia,1999-08,70517
Middle East,1999-08,13976
Oceania,1999-08,126493
Germany,1999-08,24869
Europe,1999-08,127726
France,1999-08,12754
United Kingdom,1999-08,50187
