jet_fuel_usd_per_gallon,fuel_lag1,fuel_lag2,fuel_lag3,fuel_change_3m,fuel_change_6m,fuel_volatility_6m,gdp_per_capita,gdp_yoy_change,lcc_share,month,quarter,is_peak_season,log_arrivals_diff,country,year_month
2.8835,2.868,2.8905000000000003,2.89175,-0.2852943719201084,-2.370069409175546,0.03727372287100359,3441.06808464008,-3.519729161730112,0.7096774193548387,6,2,1,0.0983448626367149,Indonesia,2014-06-01
2.8152500000000003,2.8835,2.868,2.8905000000000003,-2.6033558207922525,-3.9229404136236434,0.049552917842085445,3441.06808464008,-3.519729161730112,0.7096774193548387,7,3,1,-0.1275017388651242,Indonesia,2014-07-01
2.8402000000000003,2.8152500000000003,2.8835,2.868,-0.9693165969316464,-4.338160996968665,0.03100663907398853,3441.06808464008,-3.519729161730112,0.7096774193548387,8,3,1,-0.0224289144940676,Indonesia,2014-08-01
2.7425,2.8402000000000003,2.8152500000000003,2.8835,-4.889890757759662,-5.16123454655485,0.055399191480243845,3441.06808464008,-3.519729161730112,0.7096774193548387,9,3,0,-0.045334698866613,Indonesia,2014-09-01
2.4758,2.7425,2.8402000000000003,2.8152500000000003,-12.057543735014665,-14.346998789136833,0.15281828997210506,3441.06808464008,-3.519729161730112,0.7096774193548387,10,4,0,0.0563230575262743,Indonesia,2014-10-01
2.2915,2.4758,2.7425,2.8402000000000003,-19.31906203788466,-20.101115760111565,0.23737827705303086,3441.06808464008,-3.519729161730112,0.7096774193548387,11,4,0,-0.0876889083250862,Indonesia,2014-11-01
1.82425,2.2915,2.4758,2.7425,-33.482224247948956,-36.734870816715805,0.39359939786539255,3441.06808464008,-3.519729161730112,0.7096774193548387,12,4,1,0.1551082679598643,Indonesia,2014-12-01
1.5100000000000002,1.82425,2.2915,2.4758,-39.009613054366255,-46.363555634490716,0.5228394078650414,3288.22269725538,-4.441800732364387,0.7096774193548387,1,1,0,-0.2554321698859798,Indonesia,2015-01-01
1.757,1.5100000000000002,1.82425,2.2915,-23.32533275147284,-38.13815928455744,0.4759182742341391,3288.22269725538,-4.441800732364387,0.7096774193548387,2,1,0,-0.0806642900406124,Indonesia,2015-02-01
1.63325,1.757,1.5100000000000002,1.82425,-10.470056187474297,-40.446672743846854,0.3828461766819698,3288.22269725538,-4.441800732364387,0.7096774193548387,3,1,0,0.1600950606279489,Indonesia,2015-03-01
1.6655,1.63325,1.757,1.5100000000000002,10.2980132450331,-32.72881492850795,0.27264069762235177,3288.22269725538,-4.441800732364387,0.7096774193548387,4,2,0,-0.027346970823098,Indonesia,2015-04-01
1.8374,1.6655,1.63325,1.757,4.575981787137162,-19.81671394283221,0.12584634149100102,3288.22269725538,-4.441800732364387,0.7096774193548387,5,2,0,0.0937407261516511,Indonesia,2015-05-01
1.73525,1.8374,1.6655,1.63325,6.245216592683289,-4.878717281074407,0.11356382199745527,3288.22269725538,-4.441800732364387,0.7096774193548387,6,2,1,0.0829306343270417,Indonesia,2015-06-01
1.5608,1.73525,1.8374,1.6655,-6.2864004803362405,3.36423841059601,0.09835988511584905,3288.22269725538,-4.441800732364387,0.7096774193548387,7,3,1,-0.0605685488383063,Indonesia,2015-07-01
1.38325,1.5608,1.73525,1.8374,-24.716991400892564,-21.27205463858849,0.15545281411627757,3288.22269725538,-4.441800732364387,0.7096774193548387,8,3,1,0.0427474006705548,Indonesia,2015-08-01
1.4,1.38325,1.5608,1.73525,-19.319982711424867,-14.281340884739024,0.18297866997732307,3288.22269725538,-4.441800732364387,0.7096774193548387,9,3,0,-0.093212988077008,Indonesia,2015-09-01
1.3912,1.4,1.38325,1.5608,-10.866222450025631,-16.469528670069046,0.19623738855445033,3288.22269725538,-4.441800732364387,0.7096774193548387,10,4,0,0.0263869704981054,Indonesia,2015-10-01
1.3305,1.3912,1.4,1.38325,-3.813482739924101,-27.587895939915096,0.15273328932053645,3288.22269725538,-4.441800732364387,0.7096774193548387,11,4,0,-0.0808696159176207,Indonesia,2015-11-01
1.10075,1.3305,1.3912,1.4,-21.375,-36.56533640685781,0.14933747910913453,3288.22269725538,-4.441800732364387,0.7096774193548387,12,4,1,0.1869958942737355,Indonesia,2015-12-01
